Affluence,Disadvantage,Violent,UrbanRate,Latitude,Longtitude,avemort
-0.825889994,-0.184533588,-0.61841,0.28845,35.219,-93.721,1.0817
0.08608375,-0.695620701,0.79514,0.45203,34.755,-91.894,1.0723
-0.699392947,-0.890821423,1.4944,0,36.013,-93.724,1.0362
-0.872649318,-0.431653139,1.1056,0,36.267,-92.679,0.93015
-0.383280294,0.42187202,2.0842,0.58364,33.306,-93.902,1.0623
-0.594014717,1.168940211,2.0095,0.6549,35.767,-90.052,1.2863
-1.025193997,0.438098864,0.99418,0.37439,34.68,-91.203,1.1859
-0.96956624,-0.11009547,1.6119,0,34.546,-93.664,1.0019
-0.869818352,0.233559425,0.44603,0.30427,33.667,-93.305,1.1022
-1.052657483,-0.351376968,0.64204,0,35.91,-93.215,0.94422
-0.707168171,0.77996757,1.6572,0.42862,33.591,-92.878,1.182
-0.443061121,-0.415368913,0.34905,0,34.946,-92.927,1.0868
-0.68099208,2.273510858,1.4706,0.52448,34.426,-90.848,1.3428
-0.870226203,-0.698157462,-2.9957,0,34.158,-93.659,1.0381
-1.036875056,0.348444545,1.9786,0.36749,35.569,-90.681,1.2578
-0.770364149,-0.230901807,0.42566,0.25651,34.491,-94.231,1.0656
-0.0579377,-0.133394075,0.67205,0.41912,35.455,-93.032,0.98633
-0.786041235,-0.382281464,1.0973,0,34.828,-91.557,1.0396
1.154316493,0.071348837,2.0581,0.87268,34.774,-92.317,1.0488
-0.711236101,0.132783143,1.5183,0.31256,36.341,-91.028,1.0163
-0.837708537,2.266622092,2.4325,0.48914,35.014,-90.742,1.228
0.245097979,-0.736914635,0.90838,0.50269,34.649,-92.674,0.95078
-0.925420755,-0.50880574,0.46795,0.27083,34.859,-94.064,1.0526
-1.138829813,-0.424185174,0.12916,0,35.91,-92.699,1.0098
0.140861835,-0.248184069,1.759,0.79034,35.197,-94.275,1.0263
-0.761077349,-0.276164029,1.0882,0.36688,33.995,-94.243,1.1114
-0.939610143,0.031459638,0.094857,0.17168,36.173,-91.471,1.0219
-0.896394243,-0.538278467,0.3637,0,35.857,-92.14,0.99045
-0.329969731,0.364225977,2.1137,0.48167,33.168,-92.598,1.148
-0.713289472,-0.021464849,0.67411,0,35.583,-92.516,0.93547
0.566203947,0.233820658,1.1448,0.69579,35.971,-94.218,0.96384
-0.392156744,1.074555803,1.0894,0.44487,35.255,-91.753,1.0539
-1.199844329,1.005114579,-2.9957,0,35.189,-91.244,1.2416
-0.752319541,-0.215361276,1.239,0.18743,34.998,-93.408,1.0839
3.034674658,0.234950997,1.8875,0.99434,37.648,-121.91,0.85569
1.352922381,0.879916439,2.1221,0,38.618,-119.8,0.92528
0.914954129,-0.544494432,1.6369,0.39387,38.444,-120.65,0.87707
0.480784986,1.338200797,1.2464,0.82069,39.666,-121.6,0.95245
0.667744441,0.38214338,1.0817,0.18092,38.185,-120.56,0.85845
-0.231704774,1.195397131,1.124,0.51026,39.178,-122.24,0.89552
3.340572717,-0.244599705,1.5696,0.97889,37.919,-121.95,0.82642
-0.172106713,2.027626773,1.4691,0.67863,41.75,-123.98,1.083
1.912970698,-0.258174212,1.508,0.63043,38.786,-120.53,0.83483
0.322742943,2.2586684,2.0265,0.87362,36.761,-119.66,0.92156
-0.405862396,1.22586009,1.1231,0.56595,39.603,-122.4,0.96224
0.345401635,1.173704316,1.232,0.69505,40.707,-123.93,1.0265
-0.324366121,2.713191736,1.6124,0.85208,33.041,-115.36,0.88613
0.483648415,0.108765606,1.1377,0.57972,36.562,-117.4,0.9133
0.131303781,2.108401611,1.5951,0.8832,35.347,-118.73,1.0375
-0.252004427,2.440844919,1.049,0.86899,36.072,-119.82,0.96017
-0.20287824,1.93897438,1.3979,0.55554,39.095,-122.75,1.0656
-0.141392606,1.246127703,0.79436,0.41197,40.721,-120.63,0.94664
1.509477808,1.185639679,2.2492,0.99292,34.196,-118.26,0.84834
-0.150134337,2.335046333,1.8805,0.65952,37.21,-119.75,0.90164
5.283383159,-0.915387099,0.97182,0.94182,38.052,-122.75,0.7249
0.308065245,1.981485329,2.0325,0,37.57,-119.91,0.84934
0.581492347,0.791419127,1.3166,0.54038,39.432,-123.44,0.94414
-0.228613448,2.537687693,1.8264,0.83074,37.195,-120.72,0.94105
-0.354248965,1.967989039,1.4076,0.30585,41.593,-120.72,0.98078
1.261015285,-0.261516306,0.86555,0.45367,37.916,-118.88,0.6845
1.519978708,0.775167749,1.755,0.89155,36.24,-121.32,0.78657
2.139051482,-0.454388255,0.96904,0.84128,38.507,-122.33,0.84573
1.48775167,-0.429279885,0.57034,0.56731,39.295,-120.77,0.79266
2.810412546,-0.253473368,1.1187,0.99808,33.676,-117.78,0.78011
2.44620256,-0.601929938,0.77528,0.7883,39.062,-120.72,0.81595
0.377244977,0.833296573,1.1263,0.12812,39.995,-120.83,0.92312
0.770843295,0.57242066,1.8248,0.93151,33.73,-116,0.90085
1.399519848,0.870815776,1.7763,0.97624,38.45,-121.34,0.91373
1.680574451,0.223160623,1.8423,0.7755,36.611,-121.09,0.7866
0.530075627,1.149183935,1.6837,0.94358,34.857,-116.18,1.0063
2.051652823,0.145733084,1.5925,0.96135,33.024,-116.78,0.84265
3.844523466,-0.009250349,2.1391,1,37.727,-123.03,0.84031
0.536173246,1.690770049,2.097,0.90084,37.935,-121.27,0.95881
1.578975139,-0.126399229,1.0515,0.81176,35.385,-120.45,0.80083
4.303733836,-0.804796189,1.0512,0.9863,37.415,-122.37,0.73823
2.136518257,0.178316052,1.2035,0.95163,34.537,-120.04,0.77617
4.461142927,-0.526385923,1.467,0.98752,37.221,-121.69,0.74011
2.995174552,0.019060738,1.5445,0.85337,37.012,-122.01,0.80722
0.211723659,1.239171492,1.6267,0.6895,40.761,-122.04,1.0198
-0.071558718,0.749667294,0.15765,0,39.577,-120.52,0.88093
-0.019582653,1.138728815,1.1679,0.35363,41.588,-122.53,0.9613
1.578203768,0.27037048,1.8497,0.95886,38.267,-121.94,0.90263
2.336261843,-0.447497477,1.097,0.85713,38.525,-122.94,0.84267
0.285266632,1.827504174,1.9339,0.90958,37.562,-121,0.98311
0.320676418,1.604458635,1.2158,0.85481,39.035,-121.7,0.95137
-0.381947116,1.39651094,1.5883,0.50884,40.126,-122.23,0.98223
-0.178831702,2.073539712,0.59797,0,40.648,-123.11,1.017
-0.200885286,2.408413317,1.8715,0.81061,36.229,-118.78,0.97156
0.30034791,0.525902182,1.3207,0.53434,38.021,-119.96,0.88568
2.472924286,-0.204523067,1.0446,0.96813,34.359,-119.13,0.80053
1.804847782,0.541571113,1.7334,0.90689,38.68,-121.9,0.89451
-0.519826609,2.226885196,1.7437,0.6991,39.27,-121.34,1.1163
0.727313479,-0.341073779,1.4009,0.96084,39.874,-104.33,0.87559
0.385913882,1.149005923,1.3152,0.60597,37.568,-105.79,0.98287
2.720393479,-0.760699223,1.2641,0.97983,39.645,-104.33,0.87559
0.817291821,-0.262986167,-1.0531,0.36816,37.202,-107.05,0.72789
-0.68399707,-0.554444368,0.14916,0,37.307,-102.54,0.9291
-0.91776269,0.198875012,1.404,0.58469,37.932,-103.08,1.0076
4.042248073,-0.618058388,1.072,0.90788,40.095,-105.4,0.87559
0.758223707,-0.354322908,0.7863,0.62018,38.738,-106.32,0.8261
-0.383197473,-1.302121519,0.33831,0,38.835,-102.6,0.87373
2.611278236,-1.295273526,1.4694,0.021562,39.689,-105.67,0.75161
-0.727769854,1.453738999,-2.9957,0,37.213,-106.18,0.90751
-0.881177449,3.489804517,1.886,0,37.278,-105.43,0.85445
-0.559972278,0.952686939,0.51677,0,38.306,-103.77,0.96983
0.560046307,-0.641670116,-0.10123,0,38.102,-105.37,0.72703
-0.002732268,-0.078569115,0.36953,0.24657,38.862,-107.86,0.87323
1.960949155,0.201413356,1.6763,0.99999,39.762,-104.88,0.87559
-0.619853681,0.416101357,0.12524,0,37.748,-108.53,0.8409
4.824111195,-1.557338171,-0.70587,0.85702,39.326,-104.93,0.73264
3.430122611,-1.033236649,0.49819,0.68727,39.631,-106.69,0.54888
2.375842497,-1.348830992,1.1103,0,39.311,-104.12,0.77989
1.78323651,-0.356844439,1.358,0.90531,38.827,-104.53,0.87333
-0.261175914,-0.38705595,0.41832,0.73403,38.456,-105.42,0.99388
1.344150633,-1.008809136,0.58208,0.7017,39.599,-107.91,0.85056
2.362798198,-1.343216276,2.0182,0,39.861,-105.53,0.79668
1.706906973,-1.095328836,0.39955,0,40.123,-106.1,0.71311
1.80896899,-0.423616218,0.68196,0.45729,38.67,-107.08,0.79563
0.591047315,-1.296196039,0.27446,0,37.812,-107.38,0.57967
-0.295431449,1.424618401,1.0059,0.51615,37.688,-104.96,0.96815
-0.009556553,-0.406913653,-0.37904,0,40.663,-106.33,0.77062
2.927593698,-0.901366216,0.56395,0.93262,39.577,-105.25,0.87559
-0.295631972,-0.726025719,0.92755,0,38.388,-102.76,0.88565
-0.147320099,-0.924378955,0.8356,0.46299,39.305,-102.6,0.84948
-0.028601468,-0.038018547,0.53641,0.78085,39.205,-106.35,0.87791
1.831662475,-0.235141561,1.0083,0.35259,37.287,-107.84,0.79354
2.331131883,-0.656973446,0.85903,0.86463,40.663,-105.48,0.78163
-0.407347283,0.577888671,1.2948,0.61426,37.319,-104.04,0.92909
-0.173515474,-0.873335903,-0.13406,0,38.994,-103.51,0.87464
-0.188031472,-0.606416395,1.1001,0.59481,40.728,-103.09,0.86516
0.500861956,-0.016430144,0.71794,0.84794,39.019,-108.46,0.89828
0.477756305,-0.962199211,0.89179,0,37.651,-106.93,0.70043
-0.066738212,-0.314672423,0.70546,0.72451,40.574,-108.2,0.92632
0.102972837,0.449354399,-0.21778,0.33621,37.338,-108.6,0.9718
0.179100277,-0.213908412,0.48697,0.46889,38.413,-108.26,0.8584
-0.408660291,-0.293228011,0.10794,0.68419,40.263,-103.81,0.90429
-0.441241129,1.033646981,1.103,0.62311,37.884,-103.72,1.0235
1.684034988,-0.902729936,-1.1557,0,38.151,-107.77,0.67698
1.597233323,-1.117804727,-1.3699,0,39.119,-105.72,0.71101
-0.169174897,-0.834728951,-0.05354,0,40.595,-102.35,0.81112
5.536215708,-1.030392915,0.9099,0.47223,39.218,-106.92,0.45964
-0.544481548,-0.050049586,-0.29796,0.62121,37.958,-102.39,0.96835
0.116623477,0.493505122,1.9788,0.87229,38.171,-104.49,0.95464
0.148738277,-0.336024081,1.3163,0,39.973,-108.2,0.88376
-0.271284165,0.641877629,0.68359,0.38742,37.486,-106.45,0.95381
2.877406793,-0.96712709,0.59618,0.51067,40.483,-106.99,0.76172
-0.588690508,0.679328701,0.63662,0,38.032,-106.23,0.84173
0.551376641,-0.860796954,1.6895,0,37.781,-107.67,0.84129
3.201941199,-0.974932146,-0.21599,0,38.009,-108.43,0.59409
-0.758828627,-1.126275588,0.80531,0,40.872,-102.36,0.92895
3.432345287,-1.207589568,0.68856,0.73246,39.621,-106.14,0.45002
1.790467306,-0.793709672,0.34079,0.41562,38.872,-105.18,0.84952
-0.258900075,-1.170189405,0.059905,0,39.966,-103.21,0.86183
0.779657955,-0.191126497,1.0691,0.71882,40.556,-104.38,0.87559
-0.278919682,-0.992117452,-0.78189,0.33035,40.001,-102.42,0.89011
3.780573929,-0.266427682,1.2607,0.9585,41.227,-73.367,0.80267
2.056903573,0.449960068,1.2815,0.94533,41.806,-72.733,0.85795
2.064173089,-0.682831328,-0.036221,0.56111,41.792,-73.235,0.83455
2.627922831,-0.440396302,-0.33095,0.71981,41.435,-72.524,0.82186
1.878679017,0.407413839,1.2934,0.95765,41.35,-72.9,0.86852
1.613188733,-0.349178209,0.68314,0.72442,41.473,-72.109,0.86419
2.510410936,-0.811763928,-0.91448,0.61829,41.858,-72.341,0.8284
0.705202738,0.184188857,0.43947,0.50998,41.825,-71.991,0.93866
0.492616515,0.10199015,-2.9957,0.64497,39.097,-75.503,1.0093
2.662900014,-0.111838729,-2.9957,0.94441,39.576,-75.644,0.95615
0.17979198,-0.174115566,-2.9957,0.46524,38.678,-75.335,0.95372
2.605114268,2.278820262,2.7168,1,38.904,-77.017,1.1374
1.645266226,0.423813318,2.2653,0.74364,29.676,-82.357,0.94916
-0.534915222,-0.209891329,1.426,0.37697,30.324,-82.302,1.157
0.232251526,-0.118664226,1.827,0.89374,30.238,-85.631,1.0268
-0.602748093,-0.081865679,1.7449,0.34916,29.952,-82.167,1.0771
0.927883024,-0.332980827,1.7835,0.95453,28.298,-80.7,0.86992
1.468011896,-0.11371774,1.8002,0.99861,26.194,-80.477,0.82404
-0.778704692,0.559783365,-2.9957,0.34455,30.389,-85.198,1.0899
0.165847302,-0.912144194,0.80799,0.90607,26.869,-81.941,0.76244
-0.302398482,-0.079333792,1.0378,0.57853,28.844,-82.525,0.92029
0.930459183,-0.527338175,1.2716,0.75065,29.987,-81.858,1.0154
1.850018204,-0.876342621,1.7,0.89687,26.119,-81.401,0.66231
-0.485687784,0.248252656,1.1426,0.32219,30.221,-82.623,1.1035
-0.784878504,-0.058103653,2.1231,0.45804,27.191,-81.806,0.85666
-0.976925318,0.643546527,1.4464,0.24213,29.581,-83.196,1.073
0.848696739,-0.008298992,2.3942,0.96194,30.335,-81.648,1.0764
0.417836363,0.457494159,1.8311,0.89013,30.612,-87.339,1.0346
0.553762532,-0.729415472,1.1042,0.67431,29.475,-81.286,0.81048
-0.503453734,-0.53238998,0.73348,0.26897,29.81,-84.799,1.0386
-0.374750478,1.01950067,2.0037,0.33828,30.579,-84.613,1.0934
-0.591647978,-0.21943499,1.6634,0,29.723,-82.796,1.058
-0.731709275,0.560155983,1.1227,0.2638,26.955,-81.191,0.80154
-0.544711029,0.101232409,1.4426,0.33116,29.907,-85.257,1.0751
-1.030617174,0.771496287,2.0321,0.18646,30.491,-82.951,1.134
-0.763498912,1.069550532,1.3455,0.52558,27.493,-81.822,0.91202
-0.567297851,0.636746422,2.0163,0.63728,26.54,-81.152,1.0144
-0.390830004,-0.373993793,1.8698,0.76126,28.568,-82.465,0.91508
-0.434134408,-0.471474143,1.6328,0.6664,27.343,-81.341,0.81256
1.243919887,0.099120412,2.4227,0.94408,27.907,-82.35,0.97979
-0.852082925,0.429167118,1.1566,0.21111,30.866,-85.813,1.1486
0.907063604,-0.496302634,1.3598,0.91825,27.701,-80.575,0.78047
-0.492619318,0.18182279,1.94,0.17004,30.789,-85.209,1.0643
0.11687862,0.003169316,1.9493,0,30.425,-83.891,1.0187
-0.813420207,-0.307976611,-2.9957,0,29.99,-83.179,1.0122
0.218844523,-0.688655891,2.1618,0.69626,28.764,-81.712,0.86228
0.739037099,-0.747521909,1.7761,0.88455,26.552,-81.892,0.77043
2.237830241,0.672244802,2.3564,0.85552,30.459,-84.278,0.93057
-0.676205864,0.099286417,2.1107,0,29.284,-82.783,1.0862
-0.732843311,0.244661774,0.96428,0,30.26,-84.869,1.1172
-0.812604221,0.532787621,1.9664,0.22826,30.447,-83.47,1.0732
0.808137149,-0.712445898,2.1978,0.91888,27.481,-82.366,0.80214
-0.219305639,-0.071038836,2.056,0.6109,29.203,-82.043,0.92238
1.684479619,-0.754712576,1.3436,0.88985,27.08,-80.398,0.73467
0.873996207,1.344834017,2.5137,0.99291,25.61,-80.499,0.86643
1.45783545,-0.845405458,1.9892,0.93314,25.601,-81.207,0.88197
0.874810536,-0.523928156,2.5496,0.49533,30.606,-81.765,0.9965
0.842271562,-0.37889202,1.2225,0.88029,30.666,-86.594,0.96303
-0.763181381,-0.168217803,1.7885,0.57488,27.386,-80.887,1.0458
1.211168354,-0.09122481,2.3656,0.96598,28.514,-81.323,0.9229
-0.034456347,-0.172992761,1.9322,0.7659,28.059,-81.139,0.90349
1.834770775,-0.3952866,1.9783,0.98335,26.646,-80.449,0.75897
-0.157849918,-0.460505789,1.6593,0.85175,28.308,-82.465,0.90912
0.978759688,-0.388364459,2.0954,0.99895,27.903,-82.74,0.89131
0.07879465,0.054868594,1.8013,0.79809,27.953,-81.693,0.92242
-0.543010672,0.2666684,2.3379,0.45613,29.606,-81.741,1.0929
2.221786995,-0.873670454,1.5598,0.76804,29.891,-81.384,0.84334
0.009333674,-0.180522935,2.0204,0.93926,27.381,-80.443,0.86909
0.696216113,-0.234176095,1.2073,0.70644,30.704,-87.014,0.98537
1.356112256,-0.813800393,1.522,0.95092,27.184,-82.366,0.74499
1.942580973,-0.622715511,1.6405,0.95959,28.69,-81.132,0.86954
-0.350694538,-0.39557124,1.6385,0.49416,28.714,-82.075,0.81025
-0.606577057,0.467103939,1.8134,0.18425,30.189,-82.993,1.0786
-0.577869608,0.603860828,2.0276,0.33896,30.01,-83.609,1.1256
-0.834324792,-0.028236765,1.7654,0.47448,30.054,-82.367,1.6397
0.230919435,-0.003904357,2.0242,0.907,29.058,-81.162,0.91985
0.16262982,-0.448762165,1.5204,0,30.14,-84.375,1.0357
-0.002214681,-0.318333845,1.9435,0.20559,30.631,-86.177,0.99057
-0.547688176,0.15800406,0.04811,0.17279,30.602,-85.663,1.0704
-0.633382569,-0.113870528,1.3753,0.29916,31.74,-82.29,1.1505
-1.018080855,-0.00204498,0.56434,0,31.297,-82.878,1.2981
-0.970887581,-0.235991601,-0.60885,0.26537,31.563,-82.388,1.3109
-0.198517621,1.308595934,0.036258,0,31.32,-84.455,0.97496
0.20106896,0.468808514,1.2047,0.66029,33.06,-83.255,1.0502
-0.591462426,-0.992815858,0.57305,0.057551,34.352,-83.498,0.97882
-0.034450325,-0.535268203,1.0743,0.46927,33.992,-83.712,1.062
0.159938196,-0.572983299,0.534,0.5877,34.241,-84.838,1.1182
-0.572708755,0.627696415,2.4858,0.65225,31.741,-83.147,1.2423
-0.772867452,-0.129739156,1.0365,0.25273,31.274,-83.232,1.1482
0.596091488,1.107038127,1.7549,0.85212,32.809,-83.694,1.1881
-0.184067681,0.578263692,0.46467,0.4742,32.435,-83.332,1.0946
-1.073107894,-0.241073812,0.73968,0.010937,31.197,-81.983,1.1838
-0.632774412,0.488017008,1.8981,0.2966,30.823,-83.582,1.1374
1.013374132,-0.827718984,0.027954,0.39548,32.018,-81.439,1.1104
0.62264547,1.065787017,-0.1832,0.48518,32.393,-81.744,1.0474
-0.643355273,1.65017228,2.6172,0.24664,33.051,-82.012,1.2312
-0.259801297,-0.268796867,0.45107,0.22595,33.29,-83.958,1.164
-0.913342004,0.983956374,1.1674,0,31.521,-84.626,1.197
0.02155597,-0.030370716,1.5693,0.64172,30.913,-81.642,1.0159
-0.6800737,0.906440191,1.738,0.27848,32.404,-82.071,1.1906
0.153746333,-0.153608803,1.2984,0.47163,33.582,-85.081,1.1161
