xx,yy
-68.01582336,44.46725464
-67.90695953,44.45006561
-67.10482025,44.74800491
-67.11054993,44.87405777
-67.06471252,44.95426941
-67.31108093,45.16053391
-67.43140411,45.49857712
-67.72934723,45.67619705
-67.775177,47.01118851
-68.15905762,47.33777237
-68.86952972,47.20599365
-69.14454651,47.45809555
-69.99253082,46.71324921
-70.30191803,45.97986221
-70.697258,45.47565842
-70.82331085,45.33242035
-71.26449585,45.30377579
-71.48221588,45.0688591
-74.8397522,45.01156616
-76.31224823,44.14639664
-76.26068115,44.03180313
-76.2091217,43.8599205
-76.22057343,43.64219284
-76.68466949,43.36717606
-77.68734741,43.29269028
-79.01660919,43.24685669
-78.85617828,42.811409
-80.4318161,41.99780655
-81.66940308,41.5279808
-82.82678223,41.47068405
-82.75801849,41.51652145
-83.39400482,41.69986725
-82.77521515,42.66816711
-82.64343262,42.66243744
-82.52310944,42.74838257
-82.59759521,43.68803024
-82.91272736,44.066185
-83.62892151,43.63646698
-83.96123505,43.77397537
-83.33097839,44.39850235
-83.43411255,45.0459404
-83.29087067,45.04021072
-83.4054718,45.21210098
-84.56284332,45.72203064
-84.98683167,45.66473389
-85.02120209,45.44701385
-85.23320007,45.3438797
-85.47956848,44.78238297
-85.47956848,44.94281006
-85.54260254,44.88551331
-85.58271027,45.1146965
-86.09836578,44.74227524
-86.40776825,44.13493729
-86.4421463,43.73959732
-86.19004059,42.77130127
-86.57965851,41.99207687
-87.34741974,41.63111115
-87.74275208,42.12385559
-87.88026428,43.01767349
-87.51930237,44.28390884
-86.98072052,45.28658676
-87.39898682,44.85686493
-87.99485779,44.54174042
-87.75994873,44.95426941
-87.0093689,45.87673187
-86.97499084,45.78505707
-86.78018951,45.86526871
-86.64267731,45.84235382
-86.67132568,45.70484161
-86.33328247,45.81370544
-85.55978394,46.0486145
-84.82640076,45.92256927
-84.71180725,45.96840286
-83.9956131,45.96840286
-84.13885498,46.16320801
-84.22480011,46.36374283
-84.90661621,46.44968796
-84.99829102,46.70751953
-85.11287689,46.74762726
-86.5051651,46.50125504
-87.21563721,46.49552536
-87.5823288,46.77627563
-88.26415253,46.83929825
-88.4016571,46.80492401
-88.44176483,46.90805435
-87.74848175,47.45809555
-88.48187256,47.29193497
-89.95437622,46.71324921
-90.84246063,46.59865952
-90.76224518,46.84503174
-92.04566956,46.70178986
-91.14039612,47.34923172
-89.587677,47.97948837
-90.81381226,48.19147873
-91.30082703,48.07688904
-91.99410248,48.28315353
-92.28057861,48.25450516
-92.63008881,48.45504379
-92.61862946,48.55817413
-93.79319,48.53525543
-94.60679626,48.73579025
-94.79013824,49.23999023
-95.05370331,49.36604309
-95.15682983,49.00508118
-122.7447433,48.97070313
-122.4410858,48.68995285
-122.5384827,48.45504379
-122.567131,48.4034729
-122.2348175,48.03105164
-122.2577362,47.95656967
-122.303566,47.4007988
-122.779129,47.1028595
-123.0083084,47.09713364
-122.8192291,47.30912399
-122.767662,47.22891235
-122.6588058,47.34923172
-122.6301575,47.28620529
-122.515564,47.38933945
-122.5957794,47.52685165
-122.5041046,47.75603485
-122.5728683,47.90499878
-122.9968414,47.3778801
-123.0426865,47.34923172
-122.779129,47.77894974
-122.6129761,48.00813293
-122.8192291,48.07688904
-123.1458282,48.11699677
-124.5896683,48.39201736
-124.6584244,48.23158646
-124.0453568,47.04556274
-123.8562851,46.99972534
-124.0281754,46.86221695
-124.0281754,46.71324921
-123.8792114,46.73043823
-123.8963928,46.38093185
-123.9708862,46.57000732
-124.016716,46.36947632
-123.798996,46.26634216
-123.5182495,46.26634216
-123.9021149,46.22050476
-123.9250412,45.76213837
-124.022438,44.43287659
-124.4464264,42.95464706
-124.3834152,42.49628067
-124.0396347,41.46495438
-124.3834152,40.45081711
-123.9479599,39.9523468
-123.6843948,39.04134369
-122.9682007,38.31368637
-122.97966,38.05585861
-122.5041046,37.84959412
-122.4639969,38.12461472
-122.2176285,38.09596252
-122.3379517,38.02720642
-122.0457382,37.5287323
-122.1144943,37.52300644
-122.3837814,37.80375671
-122.3895187,37.25944519
-121.7993622,36.90994263
